lease_number,region,month,R,mean_in,mean_out,ncells_in,ncells_out,log_anomaly,behavior
OCS-A 0541,Mid-Atlantic,Oct,0.7871173473143634,0.008717106588717018,0.011074722998368286,21,17449,-0.23937793454621775,Avoidance (R < 1)
OCS-A 0541,Mid-Atlantic,Nov,0.6343598732479855,0.017492146985161872,0.027574485276945945,21,17449,-0.45513886216261273,Avoidance (R < 1)
OCS-A 0541,Mid-Atlantic,Dec,1.165246127177364,0.04656686970875377,0.03996311905498893,21,17449,0.15293233266713302,Selection (R > 1)
OCS-A 0542,Mid-Atlantic,Jan,1.8959641005850079,0.1293734946736583,0.06823625755030886,27,17449,0.6397274693629664,Selection (R > 1)
OCS-A 0542,Mid-Atlantic,Feb,2.3589165176870934,0.1566094441546334,0.06639041398047787,27,17449,0.8582024109426583,Selection (R > 1)
OCS-A 0542,Mid-Atlantic,Mar,2.4832217506705234,0.1689335999113542,0.0680300097507355,27,17449,0.9095568100979616,Selection (R > 1)
OCS-A 0542,Mid-Atlantic,Apr,1.751415824617698,0.1350515854579431,0.07710994931053702,27,17449,0.5604245034755243,Selection (R > 1)
OCS-A 0542,Mid-Atlantic,May,0.4699055111378225,0.037153543904423714,0.07906598885052583,27,17449,-0.7552236446216016,Avoidance (R < 1)
OCS-A 0542,Mid-Atlantic,Jun,0.2330127653039607,0.008814421706591491,0.03782806360455508,27,17449,-1.456662040204896,Avoidance (R < 1)
OCS-A 0542,Mid-Atlantic,Jul,0.14169450784868678,0.003960548606873663,0.02795132053461851,27,17449,-1.9540818920438026,Avoidance (R < 1)
OCS-A 0542,Mid-Atlantic,Aug,1.1595353278382305,0.0036548793971262596,0.0031520207357029835,27,17449,0.1480193454150916,Selection (R > 1)
OCS-A 0542,Mid-Atlantic,Sep,1.764746381713188,0.006280927832617804,0.003559110758181795,27,17449,0.5680069869800737,Selection (R > 1)
OCS-A 0542,Mid-Atlantic,Oct,1.1259831709205705,0.012469951718769691,0.011074722998368286,27,17449,0.11865658370933385,Selection (R > 1)
OCS-A 0542,Mid-Atlantic,Nov,0.8297366309010982,0.022879560512525064,0.027574485276945945,27,17449,-0.18664694071300308,Avoidance (R < 1)
OCS-A 0542,Mid-Atlantic,Dec,1.2094361545097514,0.04833284103208118,0.03996311905498893,27,17449,0.19015426299402702,Selection (R > 1)
OCS-A 0544,Mid-Atlantic,Jan,1.7778623472992312,0.121314673019307,0.06823625755030886,14,17449,0.5754117141279459,Selection (R > 1)
OCS-A 0544,Mid-Atlantic,Feb,2.308451273961491,0.15325903573206492,0.06639041398047787,14,17449,0.8365768555129889,Selection (R > 1)
OCS-A 0544,Mid-Atlantic,Mar,2.2708354292209973,0.1544849563922201,0.0680300097507355,14,17449,0.8201477942805321,Selection (R > 1)
OCS-A 0544,Mid-Atlantic,Apr,1.5330463616061363,0.11821312723415238,0.07710994931053702,14,17449,0.42725684183690943,Selection (R > 1)
OCS-A 0544,Mid-Atlantic,May,0.46623372750948144,0.03686323070100376,0.07906598885052583,14,17449,-0.7630682094171123,Avoidance (R < 1)
OCS-A 0544,Mid-Atlantic,Jun,0.20167543023704707,0.007628991002483028,0.03782806360455508,14,17449,-1.6010956548426831,Avoidance (R < 1)
OCS-A 0544,Mid-Atlantic,Jul,0.12484188538015181,0.003489495554406728,0.02795132053461851,14,17449,-2.080707259321347,Avoidance (R < 1)
OCS-A 0544,Mid-Atlantic,Aug,1.0636412868813867,0.0033526193915999363,0.0031520207357029835,14,17449,0.06169819768652956,Selection (R > 1)
OCS-A 0544,Mid-Atlantic,Sep,1.6470308099087332,0.005861965074603047,0.003559110758181795,14,17449,0.49897415770464787,Selection (R > 1)
OCS-A 0544,Mid-Atlantic,Oct,1.015427906104927,0.011245582784925188,0.011074722998368286,14,17449,0.01531010602225801,Selection (R > 1)
OCS-A 0544,Mid-Atlantic,Nov,0.7053753464903604,0.019450362106519088,0.027574485276945945,14,17449,-0.3490252114785493,Avoidance (R < 1)
OCS-A 0544,Mid-Atlantic,Dec,1.3695288425358028,0.054730644183499474,0.03996311905498893,14,17449,0.3144667701314273,Selection (R > 1)
OCS-A 0545,Southeast,Jan,0.12213432575449379,0.015016550198197365,0.12295110408504342,17,10774,-2.1026338091641765,Avoidance (R < 1)
OCS-A 0545,Southeast,Feb,0.1627084528390574,0.020308753420763156,0.12481683075710578,17,10774,-1.8157953125783644,Avoidance (R < 1)
OCS-A 0545,Southeast,Mar,0.12951822502716515,0.017134970136205938,0.13229775294258433,17,10774,-2.043933673944114,Avoidance (R < 1)
OCS-A 0545,Southeast,Apr,0.021942619817711916,0.003300669972839601,0.15042278452891597,17,10774,-3.819324422981434,Avoidance (R < 1)
OCS-A 0545,Southeast,May,0.013355128820748671,0.0018030662596335307,0.13500927500094703,17,10774,-4.315854786585141,Avoidance (R < 1)
OCS-A 0545,Southeast,Jun,0,0,0.06351550957238343,17,10774,-Inf,Avoidance (R < 1)
OCS-A 0545,Southeast,Jul,0,0,0.046177750323016784,17,10774,-Inf,Avoidance (R < 1)
OCS-A 0545,Southeast,Aug,0,0,0.005941280994236265,17,10774,-Inf,Avoidance (R < 1)
OCS-A 0545,Southeast,Sep,0,0,0.007117264736332014,17,10774,-Inf,Avoidance (R < 1)
OCS-A 0545,Southeast,Oct,0.07184221435280413,0.0013622577021391515,0.01896180002817494,17,10774,-2.6332830320667298,Avoidance (R < 1)
OCS-A 0545,Southeast,Nov,0.02563215699804583,0.0012227903524249354,0.04770532392253059,17,10774,-3.6639075830351313,Avoidance (R < 1)
OCS-A 0545,Southeast,Dec,0.10310644077323512,0.0069954333388630085,0.06784671535940476,17,10774,-2.271993418783061,Avoidance (R < 1)
OCS-A 0546,Southeast,Jan,0.09275375012022931,0.011404175985310423,0.12295110408504342,19,10774,-2.3778071457488474,Avoidance (R < 1)
OCS-A 0546,Southeast,Feb,0.1376772647265972,0.01718443985048093,0.12481683075710578,19,10774,-1.9828429941661123,Avoidance (R < 1)
OCS-A 0546,Southeast,Mar,0.10063148145918975,0.013313318872334142,0.13229775294258433,19,10774,-2.2962901333009818,Avoidance (R < 1)
OCS-A 0546,Southeast,Apr,0.017861433063280904,0.0026867664970555588,0.15042278452891597,19,10774,-4.025111468047199,Avoidance (R < 1)
OCS-A 0546,Southeast,May,0.01161593847801705,0.001568259432372686,0.13500927500094703,19,10774,-4.455377117227681,Avoidance (R < 1)
OCS-A 0546,Southeast,Jun,0,0,0.06351550957238343,19,10774,-Inf,Avoidance (R < 1)
OCS-A 0546,Southeast,Jul,0,0,0.046177750323016784,19,10774,-Inf,Avoidance (R < 1)
OCS-A 0546,Southeast,Aug,0,0,0.005941280994236265,19,10774,-Inf,Avoidance (R < 1)
OCS-A 0546,Southeast,Sep,0,0,0.007117264736332014,19,10774,-Inf,Avoidance (R < 1)
OCS-A 0546,Southeast,Oct,0.0608141012150103,0.0011531448261322158,0.01896180002817494,19,10774,-2.7999335890226695,Avoidance (R < 1)
